name,latitude,longitude
Student_445,13.036885,80.154496
Student_026,13.07707,80.209841
Student_163,12.91933,80.13656
Student_134,12.921638,80.128755
Student_185,12.926373,80.133182
Student_352,13.040802,80.232914
Student_342,13.046945,80.231739
Student_327,12.982528,80.218595
Student_364,13.048729,80.229797
Student_471,13.03456,80.152341
Student_386,13.046318,80.234719
Student_116,12.927288,80.128038
Student_055,13.086821,80.205536
Student_404,13.041923,80.228952
Student_412,13.047602,80.228338
Student_330,12.974335,80.225188
Student_094,13.084362,80.20417
Student_372,13.043127,80.230761
Student_187,12.923859,80.125731
Student_223,12.970606,80.223036
Student_427,13.045785,80.234912
Student_213,12.985581,80.224356
Student_347,13.043508,80.229164
Student_063,13.081541,80.208041
Student_225,12.979849,80.221125
Student_242,12.973186,80.224788
Student_348,13.045036,80.232365
Student_417,13.041961,80.233881
Student_301,12.980885,80.224521
Student_210,12.927118,80.126048
Student_217,12.97186,80.220077
Student_359,13.040825,80.233985
Student_031,13.084563,80.207745
Student_124,12.9225,80.121104
Student_293,12.980227,80.225345
Student_234,12.981774,80.216005
Student_087,13.084603,80.21663
Student_384,13.044977,80.237157
Student_274,12.979808,80.212983
Student_160,12.919411,80.127072
Student_422,13.034985,80.236143
Student_402,13.050385,80.232098
Student_191,12.926054,80.132022
Student_415,13.043699,80.231151
Student_100,13.085559,80.211334
Student_176,12.925004,80.134159
Student_462,13.032511,80.159181
Student_183,12.922799,80.126725
Student_226,12.978323,80.221228
Student_487,13.032278,80.154785
Student_114,12.916984,80.127123
Student_197,12.924047,80.123826
Student_219,12.977301,80.217822
Student_177,12.933145,80.130215
Student_236,12.981184,80.22281
Student_052,13.084482,80.211389
Student_088,13.079493,80.210531
Student_419,13.042043,80.233621
Student_302,12.974381,80.226362
Student_270,12.979643,80.222683
Student_444,13.035574,80.161294
Student_305,12.978729,80.220606
Student_474,13.031661,80.156375
Student_324,12.979354,80.217218
Student_315,12.977685,80.212392
Student_142,12.921014,80.124642
Student_497,13.031317,80.158672
Student_411,13.047443,80.234667
Student_396,13.040001,80.232024
Student_263,12.981067,80.219964
Student_188,12.930781,80.118251
Student_060,13.090073,80.207686
Student_244,12.980034,80.224005
Student_267,12.973004,80.220483
Student_033,13.083619,80.207904
Student_496,13.039879,80.155392
Student_130,12.920326,80.130388
Student_425,13.038879,80.235484
Student_077,13.085403,80.216003
Student_095,13.08259,80.210841
Student_390,13.04382,80.238178
Student_170,12.92122,80.132579
Student_343,13.048853,80.23752
Student_190,12.925075,80.131008
Student_013,13.081208,80.202506
Student_493,13.033202,80.155785
Student_393,13.043575,80.227199
Student_333,12.984024,80.213837
Student_308,12.981902,80.218905
Student_103,12.93149,80.124656
Student_439,13.032343,80.156422
Student_139,12.930032,80.129016
Student_331,12.969764,80.22031
Student_491,13.039717,80.167933
Student_157,12.927895,80.129425
Student_312,12.987089,80.214696
Student_370,13.035787,80.233246
Student_148,12.929905,80.122183
Student_233,12.978577,80.216175
Student_353,13.042615,80.23741
Student_408,13.039994,80.229444
Student_154,12.928108,80.126121
Student_141,12.925082,80.12937
Student_464,13.037264,80.161638
Student_048,13.083014,80.20938
Student_378,13.042977,80.233928
