"name","latitude","longitude"
"S1_1","13.0827","80.2707"
"S2_2","13.0870","80.2785"
"S3_3","13.0765","80.2650"
"S4_4","13.0902","80.2753"
"S5_5","13.0721","80.2604"
"S6_6","13.1023","80.2901"
"S7_7","13.1105","80.2956"
"S8_8","13.0654","80.2503"
"S9_9","13.1201","80.3050"
"S10_10","13.1305","80.3102"
"S11_11","13.0501","80.2400"
"S12_12","13.0450","80.2355"
"S13_13","13.1402","80.3201"
"S14_14","13.1505","80.3304"
"S15_15","13.0602","80.2555"
"S16_16","13.0701","80.2623"
"S17_17","13.0803","80.2701"
"S18_18","13.0905","80.2780"
"S19_19","13.1007","80.2850"
"S20_20","13.1109","80.2950"
"S1_21","13.0827","80.2707"
"S2_22","13.0870","80.2785"
"S3_23","13.0765","80.2650"
"S4_24","13.0902","80.2753"
"S5_25","13.0721","80.2604"
"S6_26","13.1023","80.2901"
"S7_27","13.1105","80.2956"
"S8_28","13.0654","80.2503"
"S9_29","13.1201","80.3050"
"S10_30","13.1305","80.3102"
"S11_31","13.0501","80.2400"
"S12_32","13.0450","80.2355"
"S13_33","13.1402","80.3201"
"S14_34","13.1505","80.3304"
"S15_35","13.0602","80.2555"
"S16_36","13.0701","80.2623"
"S17_37","13.0803","80.2701"
"S18_38","13.0905","80.2780"
"S19_39","13.1007","80.2850"
"S20_40","13.1109","80.2950"
"S1_41","13.0827","80.2707"
"S2_42","13.0870","80.2785"
"S3_43","13.0765","80.2650"
"S4_44","13.0902","80.2753"
"S5_45","13.0721","80.2604"
"S6_46","13.1023","80.2901"
"S7_47","13.1105","80.2956"
"S8_48","13.0654","80.2503"
"S9_49","13.1201","80.3050"
"S10_50","13.1305","80.3102"
"S11_51","13.0501","80.2400"
"S12_52","13.0450","80.2355"
"S13_53","13.1402","80.3201"
"S14_54","13.1505","80.3304"
"S15_55","13.0602","80.2555"
"S16_56","13.0701","80.2623"
"S17_57","13.0803","80.2701"
"S18_58","13.0905","80.2780"
"S19_59","13.1007","80.2850"
"S20_60","13.1109","80.2950"
"S1_61","13.0827","80.2707"
"S2_62","13.0870","80.2785"
"S3_63","13.0765","80.2650"
"S4_64","13.0902","80.2753"
"S5_65","13.0721","80.2604"
"S6_66","13.1023","80.2901"
"S7_67","13.1105","80.2956"
"S8_68","13.0654","80.2503"
"S9_69","13.1201","80.3050"
"S10_70","13.1305","80.3102"
"S11_71","13.0501","80.2400"
"S12_72","13.0450","80.2355"
"S13_73","13.1402","80.3201"
"S14_74","13.1505","80.3304"
"S15_75","13.0602","80.2555"
"S16_76","13.0701","80.2623"
"S17_77","13.0803","80.2701"
"S18_78","13.0905","80.2780"
"S19_79","13.1007","80.2850"
"S20_80","13.1109","80.2950"
"S1_81","13.0827","80.2707"
"S2_82","13.0870","80.2785"
"S3_83","13.0765","80.2650"
"S4_84","13.0902","80.2753"
"S5_85","13.0721","80.2604"
"S6_86","13.1023","80.2901"
"S7_87","13.1105","80.2956"
"S8_88","13.0654","80.2503"
"S9_89","13.1201","80.3050"
"S10_90","13.1305","80.3102"
"S11_91","13.0501","80.2400"
"S12_92","13.0450","80.2355"
"S13_93","13.1402","80.3201"
"S14_94","13.1505","80.3304"
"S15_95","13.0602","80.2555"
"S16_96","13.0701","80.2623"
"S17_97","13.0803","80.2701"
"S18_98","13.0905","80.2780"
"S19_99","13.1007","80.2850"
"S20_100","13.1109","80.2950"
"S1_101","13.0827","80.2707"
"S2_102","13.0870","80.2785"
"S3_103","13.0765","80.2650"
"S4_104","13.0902","80.2753"
"S5_105","13.0721","80.2604"
"S6_106","13.1023","80.2901"
"S7_107","13.1105","80.2956"
"S8_108","13.0654","80.2503"
"S9_109","13.1201","80.3050"
"S10_110","13.1305","80.3102"
"S11_111","13.0501","80.2400"
"S12_112","13.0450","80.2355"
"S13_113","13.1402","80.3201"
"S14_114","13.1505","80.3304"
"S15_115","13.0602","80.2555"
"S16_116","13.0701","80.2623"
"S17_117","13.0803","80.2701"
"S18_118","13.0905","80.2780"
"S19_119","13.1007","80.2850"
"S20_120","13.1109","80.2950"
"S1_121","13.0827","80.2707"
"S2_122","13.0870","80.2785"
"S3_123","13.0765","80.2650"
"S4_124","13.0902","80.2753"
"S5_125","13.0721","80.2604"
"S6_126","13.1023","80.2901"
"S7_127","13.1105","80.2956"
"S8_128","13.0654","80.2503"
"S9_129","13.1201","80.3050"
"S10_130","13.1305","80.3102"
"S11_131","13.0501","80.2400"
"S12_132","13.0450","80.2355"
"S13_133","13.1402","80.3201"
"S14_134","13.1505","80.3304"
"S15_135","13.0602","80.2555"
"S16_136","13.0701","80.2623"
"S17_137","13.0803","80.2701"
"S18_138","13.0905","80.2780"
"S19_139","13.1007","80.2850"
"S20_140","13.1109","80.2950"
"S1_141","13.0827","80.2707"
"S2_142","13.0870","80.2785"
"S3_143","13.0765","80.2650"
"S4_144","13.0902","80.2753"
"S5_145","13.0721","80.2604"
"S6_146","13.1023","80.2901"
"S7_147","13.1105","80.2956"
"S8_148","13.0654","80.2503"
"S9_149","13.1201","80.3050"
"S10_150","13.1305","80.3102"
